1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
NA,NA,NA,Illinois,LSU,Washington St.,Elon,Pennsylvania,Presbyterian,Purdue,UCLA,Delaware,Washington & Lee,Virginia,Northwestern,Northwestern,Illinois,Miami (OH),Detroit Mercy,Tulane,Drake,Kansas,St. Ambrose,North Texas,Prairie View A&M,Montana St.,Michigan,San Diego St.,East Carolina,Tulsa,Lamar,Oregon St.,Wyoming,Hawaii,Oklahoma,Michigan St.,Maryland,Tennessee,Alabama,Michigan,Brown,North Carolina Central,Nebraska,Minnesota,Houston,Louisville,Oregon St.,SMU,Kansas,Rutgers,Florida,Florida St.,Portland St.,Boston Univ.,Oregon Tech,Auburn,Virginia Tech,Tennessee St.,Northwestern,Penn St.,Temple,Wyoming,Boston College,Maryland,Virginia,Ala-Birmingham,Kansas,Utah,Bowling Green,Stanford,Kansas St.,Oregon,Notre Dame,Cincinnati,Colorado St.,USC,Wake Forest,Clemson,Notre Dame,Ohio St.,Indiana,Cincinnati,Clemson,Colorado,Michigan,Arizona St.,Fordham,LSU,Illinois
NA,NA,NA,Centre,Georgia Tech,TCU,Holy Cross,Santa Clara,USC,Dartmouth,William & Mary,Washington St.,Texas,Colorado St.,Oklahoma St.,USC,Yale,Ohio St.,Texas,Utah St.,Alabama,Dayton,Southern Miss,North Carolina,Wyoming,Ohio St.,Nevada,Boston College,Hillsdale,Notre Dame,East. New Mexico,Colorado,Hampton,Notre Dame,Miami (FL),MD-Eastern Shore,Utah St.,Wake Forest,Morgan St.,West Virginia,Kent St.,Nebraska,Texas A&M-Kingsville,Baylor,San Diego St.,Colorado,Clemson,Louisiana Tech,Boston College,Washington,North Carolina St.,Lafayette,East Tennessee St.,Alabama,C.W. Post,Texas,Ohio St.,South Dakota St.,Unknown,Baylor,Minnesota,Eastern Kentucky,Ala-Birmingham,BYU,Boston College,Colorado St.,Oregon,Houston,Pittsburgh,Louisiana,Virginia,Texas Tech,Iowa,Utah,Georgia Tech,Michigan St.,Kentucky,Georgia,Missouri,Clemson,Texas-San Antonio,Louisiana,Louisiana,West Virginia,Georgia Southern,Missouri,Oklahoma St.,Stanford,Oregon
NA,NA,NA,Minnesota,Illinois,Fordham,SMU,Clemson,Mississippi St.,Villanova,San Jose St.,Vanderbilt,Georgia,North Carolina,Stephen F. Austin,Pittsburgh,Illinois,Syracuse,Utah,Auburn,Missouri,Florida,Michigan St.,Duke,Georgia,SMU,UCLA,Missouri,Oklahoma,Arizona St.,New Mexico St.,Benedictine,Washington,USC,Auburn,Colorado,Abilene Christian,Middle Tenn. St.,U.S. International,Oklahoma,LSU,UNLV,Hampton,Oklahoma,Clemson,Notre Dame,Houston,Arizona,Weber St.,Oklahoma,Rhode Island,Colorado St.,Oklahoma,Arkansas,Wisconsin–LaCrosse,Nevada,Illinois,Lenoir-Rhyne,North Carolina A&T,Sam Houston St.,Notre Dame,Ohio St.,Duke,San Jose St.,Utah,Kentucky St.,Albany State (GA),Oklahoma,Purdue,Vanderbilt,TCU,Oregon St.,San Diego St.,USC,West Texas A&M,California,Unknown,Miami (FL),Notre Dame,Louisville,Purdue,Tulane,Boston College,Southeast Missouri St.,Oregon St.,USC,Virginia Tech,Nebraska,LSU
NA,NA,NA,Tulane,San Francisco,Vanderbilt,Gonzaga,Rochester,Santa Clara,Unknown,Marquette,Colorado,Penn St.,Iowa St.,San Jose St.,Unknown,Stanford,North Carolina,Georgia Tech,Clemson,Wisconsin,Montana,Mississippi,Minnesota,Wisconsin,North Carolina,Syracuse,Georgia Tech,Clemson,Austin,South Carolina,Arizona St.,Morris Brown,Jackson St.,Kansas St.,Nebraska,Oregon,Grambling St.,Washington St.,Nebraska-Kearney,Arkansas St.,California-Davis,Truman St.,Pittsburgh,Bethune-Cookman,Florida,SMU,SW Missouri St.,Rutgers,Louisiana,Tennessee,Rutgers,Washington St.,Fresno St.,Tennessee,Arizona St.,Tuskegee,Oklahoma,Connecticut,BYU,Idaho,Bethune-Cookman,Nebraska,SMU,Mississippi St.,Iowa,LSU,Florida,Nebraska,UCLA,San Diego St.,Georgia,Iowa St.,Oregon St.,Arizona St.,TCU,Oklahoma St.,Nebraska,Coastal Carolina,Boston College,Kentucky,Utah,Texas,Arkansas,Georgia,Georgia,Georgia,Ohio St.,North Carolina St.
NA,NA,NA,Montana,Auburn,Arizona,Notre Dame,Iowa St.,Washington,Mississippi St.,Miami (OH),Wyoming,Marshall,Rollins,Howard Payne,Idaho,Notre Dame,Bowling Green,Florida St.,Middlebury,Florida,Virginia Tech,Stephen F. Austin,Grambling St.,Texas A&M-Commerce,Arizona St.,VMI,Texas,Ohio St.,Idaho,Bowling Green,C.W. Post,Duke,Kansas St.,Weber St.,Ohio St.,Oklahoma,Iowa,Missouri,Florida,MD-Eastern Shore,Northern Colorado,Ohio St.,Youngstown St.,Montana St.,Eastern Michigan,Idaho,Baylor,Purdue,Nebraska,Nebraska,Mississippi,Delaware St.,Auburn,USC,Illinois,Pittsburgh,North Carolina St.,West Virginia,Tennessee,Penn St.,Houston,Texas-El Paso,Tarleton St.,Texas,Texas-El Paso,Boise St.,Purdue,Tennessee,Missouri,Florida,Boise St.,Wisconsin,San Jose St.,Kansas,Cincinnati,Ohio St.,Georgia,Miami (FL),Kansas,Michigan,Louisiana Tech,Texas Tech,Wyoming,Texas A&M,Coastal Carolina,Michigan St.,Nebraska,Ala-Birmingham
NA,NA,NA,BYU,St. Anselm,Kentucky,Wichita St.,St. Vincent,Mississippi St.,Iowa,Baylor,LSU,Texas,North Carolina,Tulane,Marquette,Oklahoma,Illinois,Kent St.,Bradley,Washington St.,Maryland,SMU,Clemson,Gustavus Adolphus,Georgia,Maryland,Bethune-Cookman,Syracuse,Drake,Wisconsin,Idaho,Grambling St.,Grambling St.,Alcorn St.,Vanderbilt,North Dakota St.,California,West Alabama,Unknown,Miami (OH),Ark-Pine Bluff,Bethune-Cookman,Massachusetts,Missouri,Baylor,Jackson St.,LSU,New Mexico,Penn St.,Toledo,Baylor,Mississippi St.,Utah St.,Savannah St.,Florida A&M,Houston,Miami (FL),Florida St.,Nebraska,Colorado,Miami (FL),North Carolina St.,Ohio St.,California,Nebraska,Tennessee,Michigan,Colorado St.,Ball St.,North Carolina St.,California,Boston College,TCU,South Dakota St.,Miami (FL),Mississippi St.,Oregon,UCLA,Arkansas,TCU,West Georgia,Maine,Alabama,Michigan,Kentucky,Youngstown St.,Michigan St.,Auburn
NA,NA,NA,Villanova,Missouri,Georgetown (DC),Fordham,Villanova,Georgia,Auburn,Lafayette,UCLA,Colorado Col.,Notre Dame,St. Bonaventure,Memphis,USC,Mississippi St.,Houston,Iowa,Maine,LSU,Central Michigan,William & Mary,Villanova,Florida A&M,Detroit Mercy,Fisk,Colorado,Oklahoma,Minnesota,Utah St.,Oregon St.,Yale,Boston Univ.,Wake Forest,Rice,Idaho St.,Howard Payne,Trinity Valley CC (TX),Pittsburgh,UNLV,Elon,Utah St.,Hillsdale,Texas A&M-Kingsville,Tulsa,Middle Tenn. St.,Indiana St.,Virginia,Ohio St.,William & Mary,San Diego St.,USC,Appalachian St.,San Jose St.,Nebraska,UCLA,Colorado,Wisconsin,Michigan St.,Knoxville,Colorado,Nebraska-Omaha,USC,Wisconsin,South Carolina,Howard,Wisconsin,Wisconsin,Texas A&M,Colorado,Jackson St.,Nebraska,Buffalo,Ohio St.,South Dakota,Illinois St.,Tennessee,Louisville,Arkansas,Oklahoma,Indiana,Elon,Penn St.,Alabama,Oklahoma St.,Kentucky,Tennessee
NA,NA,NA,Notre Dame,Cornell,Mississippi St.,Boston College,Arizona,Purdue,Tulsa,Bemidji St.,Michigan,Columbia,Penn St.,West Virginia,Fordham,Stanford,Army/Villanova,Arkansas,New Mexico,Houston,Penn St.,Abilene Christian,Hardin-Simmons,The Citadel,Wichita St.,Navy,Iowa,Virginia,Auburn,Western Illinois,Purdue,Georgia,Utah St.,Louisiana Tech,Southern,Kansas St.,Ohio St.,USC,Oklahoma St.,Vanderbilt,Pittsburgh,Iowa St.,Cincinnati,Yale,Stanford,Michigan,Clemson,Hawaii,Miami (FL),North Alabama,Georgia,Alabama,Utah St.,Mississippi,Florida A&M,West Virginia,Pittsburg St.,Texas-El Paso,USC,Tennessee,Virginia Tech,Stanford,Oregon St.,Texas-El Paso,New Mexico,Michigan St.,Texas Tech,Penn St.,North Carolina St.,Toledo,Auburn,West Virginia,Washington St.,Morehouse,Central Arkansas,Iowa,LSU,Ball St.,Florida St.,Colorado St.,Oklahoma St.,LSU,Notre Dame,Nebraska,Louisiana,Air Force,Texas,Arizona
NA,NA,NA,Notre Dame,Centenary,Illinois,Boston College,Unknown,Temple,Oklahoma St.,Santa Clara,Michigan St.,Colorado,Alabama,Oregon,South Carolina,Georgia Tech,Dartmouth,Oklahoma,Southern Miss,Mississippi,Hillsdale,Arkansas Tech,Villanova,Louisiana Tech,Oklahoma,Penn St.,Unknown,Northwestern,Toledo,San Diego St.,Northwestern,Notre Dame,Tuskegee,Arizona St.,San Diego St.,Kansas St.,Arkansas,Emporia St.,Alabama,Texas A&M,South Carolina,Louisiana Tech,New Mexico,Texas Tech,BYU,Illinois,Rutgers,North Carolina,Tennessee,UCLA,Bishop,Grambling St.,Tulane,Memphis,Southern Miss,East. Washington,Mississippi St.,San Diego St.,Oregon,Chattanooga,Kansas,Southern,Florida St.,Purdue,Notre Dame,East. Washington,Boston College,Auburn,UCLA,Oklahoma,Connecticut,Connecticut,Clemson,Central Michigan,West Virginia,Purdue,Jacksonville St.,Northwest Missouri St.,Mississippi St.,San Jose St.,Boise St.,Rutgers,Central Michigan,Wake Forest,Arizona,Georgia,Wake Forest,Texas
NA,NA,NA,Iowa St.,Missouri,Texas A&M,Iowa,North Carolina,Notre Dame,Texas,Bucknell,Marquette,Texas,Mississippi,Dartmouth,Loyola Marymount,Michigan,Villanova,Mississippi St.,Georgia,Pittsburgh,Houston,Iowa,Holy Cross,Georgia,Iowa,Louisville,South Carolina,UCLA,Maryland,Nebraska,Texas,Weber St.,Prairie View A&M,Wisconsin,Ohio St.,Eastern Michigan,Iowa,South Dakota St.,South Dakota St.,Iowa,Minot St.,Miami (FL),Penn St.,Florida St.,BYU,Arizona St.,North Carolina,Texas A&M-Kingsville,Montana St.,Auburn,Virginia Tech,Minnesota,Nevada,Penn St.,Missouri,USC,Nevada,Texas A&M,Georgia,Washington,Arizona St.,Colorado,Ohio St.,Arkansas,Vanderbilt,Penn St.,TCU,Colorado,Iowa,Georgia,TCU,Virginia,West Texas A&M,Texas Tech,Nebraska,New Mexico St.,UCLA,Murray St.,Kansas St.,Auburn,Miami (FL),Central Arkansas,Rutgers,Temple,Arizona,Missouri,Eastern Michigan,Clemson
NA,NA,NA,Unknown,Miami (FL),Georgetown (DC),George Washington,St. Mary's (CA),Guilford,Oklahoma St.,Colorado,Fresno St.,Dartmouth,Duke,Louisiana,Eastern Kentucky,Oklahoma St.,Purdue,Kentucky,Maryland,Navy,Maryland,Richmond,Georgia Tech,South Carolina,Northern Arizona,Georgia,Toledo,Grambling St.,USC,Montana,California,Morgan St.,Arkansas,North Dakota St.,Tennessee St.,Missouri,Miami (FL),Utah,Georgia Tech,Oklahoma St.,Michigan,Florida,Notre Dame,Oregon,Michigan,Washington St.,Texas A&M,Penn St.,Washington,Idaho St.,Arizona,Miami (FL),West Virginia,Norfolk St.,Syracuse,Oklahoma,La-Monroe,Tulsa,Pacific,Alabama,Michigan St.,Washington St.,Illinois,Michigan St.,Northern Arizona,San Diego St.,Notre Dame,Stanford,Vanderbilt,LSU,Auburn,Nebraska,TCU,LSU,Arizona,Ohio St.,Arkansas,Baylor,Fresno St.,Northwestern,Michigan,Alabama,Penn St.,Utah,Colorado,Ouachita Baptist,Stanford,Georgia
NA,NA,NA,Washington St.,Notre Dame,Holy Cross,Florida,Wisconsin,Notre Dame,Villanova,Purdue,TCU,Catawba,USC,Holy Cross,St. Ambrose,St. Norbert,Florida,Sam Houston St.,Miami (OH),Wyoming,Pittsburgh,Richmond,Benedictine,Miami (OH),San Francisco St.,Pacific,Toledo,Texas A&M-Commerce,West Virginia,USC,Tuskegee,Miami (FL),BYU,U.S. International,Northwestern,Southern,Ohio St.,Bowling Green,Penn St.,Texas A&M,Georgia,Montana,TCU,Colorado St.,Baylor,South Carolina,Michigan,Miami (FL),Texas-El Paso,Memphis,Iowa,East Carolina,Louisiana,Virginia,Tennessee,Alabama St.,Marshall,Howard,North Carolina St.,Penn St.,Texas A&M,Indiana,Kansas St.,Iowa,Tennessee,Notre Dame,Michigan,Oregon,Colorado St.,Minnesota,Ohio St.,Kentucky,Hawaii,Baylor,Iowa,Miami (FL),Bowling Green,Concordia-St.Paul (MN),USC,Wisconsin,Mississippi,Tennessee,Virginia,Maryland,Missouri,SMU,New Mexico,California
NA,NA,NA,Santa Clara,Iowa,Carnegie Mellon,TCU,Santa Clara,Louisiana Tech,Arkansas,USC,St. Lawrence,Rice,Pacific,Minnesota,Missouri State,Washington & Lee,California,Oregon St.,Arizona St.,Emporia St.,Pittsburgh,Compton CC (CA),UCLA,Western Michigan,Michigan,Houston,Whitworth,Colorado St.,Texas Tech,Louisiana Tech,Tennessee,Oklahoma,Washington,Boston College,Kansas St.,Baldwin-Wallace,Holy Cross,Tennessee,Tulane,Florida,BYU,North Carolina,BYU,Oregon St.,Tulsa,Hawaii,South Carolina St.,Texas,Oklahoma,North Carolina,Texas-El Paso,Penn St.,Grambling St.,Texas A&M,UCLA,Central State (OH),Mississippi,Memphis,Nebraska,Florida St.,Oklahoma,San Diego St.,Hampton,Michigan,Minnesota,Georgia Southern,Southeast Missouri St.,Northern Arizona,Baylor,Oklahoma St.,Central Michigan,Southern Miss,Missouri,Ala-Birmingham,Mississippi,Western Oregon,Notre Dame,Marshall,Central Michigan,Mississippi,Wyoming,Washington St.,Mississippi St.,Ohio St.,Pittsburgh,Tennessee,Oregon,Northern Iowa
NA,NA,NA,Texas,Whittier,Colgate,Texas A&M-Kingsville,Minnesota,Unknown,Marquette,Duke,North Carolina St.,Utah,Hardin-Simmons,Detroit Mercy,Oklahoma St.,Houston,Texas,Baylor,BYU,Alabama,Kentucky,Clemson,SMU,Notre Dame,Ohio St.,SMU,New Mexico,Tulsa,Los Angeles St.,Purdue,SMU,MD-Eastern Shore,Youngstown St.,Penn St.,Delaware,Northern Illinois,Arizona St.,Boston College,Arizona,Tennessee St.,LSU,Arizona St.,SMU,Alabama,Jackson St.,Wisconsin,USC,Capital,East Carolina,Utah,UCLA,Oklahoma,Missouri,Arkansas,Nebraska,Texas Tech,Notre Dame,Virginia Tech,Colorado,Florida St.,Memphis,Tennessee,Iowa,Southern Miss,Miami (FL),San Diego St.,Wisconsin,Mississippi,Miami (FL),Penn St.,Hawaii,North Dakota St.,New Mexico,LSU,Ohio St.,Miami (FL),Notre Dame,McGill,Texas,Stanford,Pittsburgh,Yale,Houston,Southern Miss,Kentucky,Northwest Missouri St.,Boise St.,Mississippi St.
NA,NA,NA,NA,NA,Rice,NA,LSU,Pennsylvania,Boston College,Villanova,Oklahoma,Tulsa,Missouri,North Carolina,William & Mary,USC,Penn St.,Baylor,Wake Forest,Miami (OH),Wheaton,Duke,Jackson St.,USC,Miami (FL),North Carolina Central,Colorado,Muskingum,Arizona St.,Shippensburg,Truman St.,San Jose St.,Clemson,USC,West Virginia,Arizona St.,Texas-El Paso,SMU,Duke,Notre Dame,Tulsa,Florida A&M,Georgia Tech,Georgia Tech,South Carolina St.,Minnesota,Pittsburgh,Hawaii,Virginia Tech,Arkansas St.,Washington,Washington,Cincinnati,Colorado,Nebraska,Portland St.,Arizona St.,Utah,Texas A&M,Texas A&M,San Diego St.,Virginia Tech,East Carolina,Purdue,Purdue,Wisconsin,Texas Tech,Michigan St.,Michigan St.,California,Albany (NY),Wake Forest,Purdue,Troy,Michigan,Unknown,Connecticut,Arizona St.,Missouri,Arkansas,Virginia Tech,Louisiana Tech,South Carolina,SMU,Oklahoma St.,USC,Notre Dame,Marshall
NA,NA,NA,NA,NA,Tulsa,NA,Scranton,Geneva,Kentucky,Tulane,Colorado,Virginia,Ohio St.,North Carolina A&T,Tulane,Tennessee,San Diego St.,Houston,San Diego St.,UCLA,Houston,Minnesota,Tennessee Tech,Florida,West Texas A&M,Maryland,Utah,Nebraska,Vanderbilt,Los Angeles St.,Bishop,Illinois,Tulsa,Northern Arizona,Hofstra,Stanford,Prairie View A&M,Lincoln (MO),Long Beach St.,Southern,Baylor,North Carolina,Tulsa,Northern Michigan,Cal State-Fullerton,Texas,Texas A&M,Florida,Texas-Arlington,Notre Dame,Washington St.,Georgia Tech,Wesern Illinois,Purdue,Colorado,North Carolina,Kentucky,East Carolina,Arizona St.,Notre Dame,Colorado,Virginia Tech,Arkansas,Stanford,Michigan St.,Texas-El Paso,Alabama,Michigan,Michigan St.,North Carolina St.,Notre Dame,Michigan,Iowa,Texas A&M,South Florida,Baylor,Nevada,Kansas St.,Arkansas,Penn St.,Utah,Wisconsin,Ohio St.,California,Michigan,Oklahoma,Rutgers,Georgia St.
NA,NA,NA,NA,NA,Akron,NA,Missouri,Purdue,Stanford,Pittsburgh,Oregon,Kansas,Wisconsin–Milwaukee,Furman,Texas,California,Rice,Texas Tech,Sam Houston St.,Mississippi,Occidental,Southeast Missouri St.,Baylor,Baylor,New Mexico St.,Wake Forest,Maryland,Idaho,Prairie View A&M,Pittsburgh,Wyoming,Montana,Jackson St.,Bowling Green,Texas Southern,MD-Eastern Shore,Ohio St.,Ohio St.,Georgia,Virginia Tech,Mississippi St.,Texas Tech,Purdue,Boston Univ.,Minnesota,Morris Brown,Tennessee St.,Virginia,Liberty,Vanderbilt,Iowa St.,Nebraska,Indiana,San Diego St.,Texas,Penn St.,Tennessee,Clemson,North Carolina St.,Duke,Northwestern,West Virginia,Montana,Colorado,Boston College,Delaware,USC,Duke,Virginia,Nebraska,Maine,Wheaton,Rutgers,James Madison,Washington St.,Baylor,Unknown,Western Kentucky,Maryland,Virginia Tech,Coastal Carolina,Nebraska,La-Monroe,Oregon St.,Houston,Baylor,Florida,Alabama
NA,NA,NA,NA,NA,Cornell,NA,Temple,UCLA,Georgia,Bucknell,Boston College,Arkansas,Baylor,Pittsburgh,Baylor,Penn St.,Utah,Florida,Eastern Kentucky,Kentucky,Murray St.,Texas A&M,South Dakota St.,Syracuse,Missouri,Mississippi St.,West Texas A&M,Nebraska,East Tennessee St.,Washington,Virginia Union,Colorado St.,Purdue,Michigan St.,Washington,Nebraska,Michigan St.,Purdue,Tulane,Eastern Michigan,St. Thomas,Southeast Missouri St.,San Diego St.,La-Monroe,Oklahoma,Vanderbilt,UCLA,Iowa St.,Arizona,Tennessee,USC,Texas,Nebraska,Washington St.,Toledo,USC,Valdosta St.,Georgia,San Diego St.,Alabama,Oregon,Tennessee,Cincinnati,Kent St.,Oregon St.,Stanford,BYU,Nebraska,Utah,USC,Central Arkansas,Montana,Illinois,Cincinnati,Nevada,Texas,Kansas St.,Stanford,Georgia Tech,Penn St.,Mississippi,Virginia St.,Miami (FL),Wyoming,South Carolina,Tennessee,LSU,Central Florida
NA,NA,NA,NA,NA,NA,NA,Washington,USC,Florida,UCLA,Texas A&M-Commerce,Alabama,Georgia,Oklahoma St.,Michigan,Kentucky,Washington St.,Toledo,Purdue,North Carolina St.,Mississippi,USC,East. Washington,Missouri,Central Oklahoma,Furman,USC,New Mexico,Wichita St.,Texas Tech,Southern Miss,Miami (FL),Missouri,Arkansas,Arizona St.,Colorado,USC,Michigan St.,Harding,Ohio St.,Houston,Tennessee,Boise St.,Boston College,Notre Dame,Boston Univ.,Clemson,LSU,UNLV,Wyoming,Tennessee St.,Kentucky,Florida A&M,Tennessee,TCU,Penn St.,Florida St.,Colorado,North Texas,James Madison,Kentucky,Arizona,Michigan,Florida A&M,North Carolina,Ohio St.,Pittsburgh,Rutgers,Washington,Notre Dame,Texas-El Paso,Mount Union,Oregon,North Carolina St.,LSU,Boise St.,Oklahoma,Virginia,Mississippi St.,Southeastern Louisiana,Arkansas,Louisville,Kansas St.,Michigan,LSU,LSU,Iowa St.,Louisville
NA,NA,NA,NA,NA,NA,NA,William & Mary,Syracuse,Oklahoma St.,Indiana,St. Bonaventure,William & Mary,North Texas,Wake Forest,Tennessee,Buffalo,Duke,Chattanooga,Duke,Boston College,Baylor,Syracuse,Georgia Tech,San Bernardino Valley,Wisconsin–River Falls,Delaware,Miami (FL),Florida,Auburn,Norfolk St.,LSU,Unknown,LSU,Missouri,Kansas,Arizona St.,Nebraska,Oklahoma St.,Purdue,Rice,Furman,California,Bowling Green,Stanford,Rutgers,Pacific,Wisconsin,Auburn,Miami (FL),West Chester,Washington,Michigan St.,Auburn,Nebraska,Arizona,Florida,Memphis,Wisconsin,Virginia,Kentucky St.,Arizona St.,Syracuse,Mississippi St.,Colorado,Iowa St.,Notre Dame,Boise St.,Tennessee,Marshall,Nebraska,Florida,Cincinnati,Stephen F. Austin,Arizona St.,Richmond,Ohio,Florida St.,Georgia Tech,Oklahoma,Southern Miss,Virginia Tech,TCU,North Carolina St.,Georgia Tech,Kentucky,Wisconsin,Princeton,Mississippi St.
NA,NA,NA,NA,NA,NA,NA,Texas A&M,Fordham,Santa Clara,Detroit Mercy,Wyoming,Michigan St.,Lock Haven,Fordham,Dayton,Stephen F. Austin,LSU,Oregon,Penn St.,Holy Cross,Washington,Louisville,Illinois,John Carroll,Vanderbilt,Baldwin-Wallace,Iowa,Michigan,Texas St.,Syracuse,Mississippi,Morehead St.,Bucknell,Nebraska,Dartmouth,Minnesota,Drake,TCU,Arkansas St.,Mississippi St.,Colorado,Colorado St.,Washington,Pacific,Moorhead State (MN),Oklahoma,Houston,Georgia,Central Michigan,Illinois,Stanford,Western Kentucky,UT Martin,Nebraska,Middle Tenn. St.,Chattanooga,Miami (FL),Kentucky,Pittsburgh,Oklahoma,Colorado,Indiana,Arkansas,Arizona,Central Missouri St.,Toledo,Tuskegee,Montana,Michigan Tech,Howard,Michigan,Villanova,Kentucky,Florida St.,Southern Illinois,Wisconsin,Princeton,Boise St.,Georgia,Louisiana Tech,Houston,Notre Dame,Akron,Oregon St.,Arkansas,Illinois,Auburn,Findlay
NA,NA,NA,NA,NA,NA,NA,Wisconsin,Unknown,Santa Clara,Tufts,Virginia,Nebraska,Duke,Ball St.,Boston College,Mississippi St.,Penn St.,Texas-El Paso,North Texas,Mississippi,Nebraska,Iowa,Los Angeles St.,North Carolina St.,Miami (FL),Colorado,Miami (FL),Mississippi,Baylor,San Francisco St.,Illinois Wesleyan,Lenoir-Rhyne,Tuskegee,Southern,Johnson C. Smith,North Carolina A&T,NE State (OK),Texas Southern,Tulsa,Colorado,Pacific,Rhode Island,Utah,Pacific,South Carolina St.,UCLA,Washington,Cal Poly-San Luis Obispo,Oklahoma St.,Texas-El Paso,Virginia Tech,Colorado,USC,UCLA,Missouri,Jackson St.,La-Monroe,Boston College,Mississippi St.,Penn St.,USC,Arizona,Oregon,Furman,Florida,Sacred Heart,Arizona,California,Ball St.,Wyoming,Central Connecticut St.,Michigan St.,Virginia,Vanderbilt,Alabama,Georgia,New Mexico St.,San Diego St.,Boston College,Eastern Illinois,Auburn,Boise St.,Bowling Green,Oregon,Florida,Michigan St.,Pittsburgh,New Hampshire
NA,NA,NA,NA,NA,NA,NA,SMU,Texas,Iowa,Syracuse,Vanderbilt,Missouri,Duke,Unknown,Unknown,Scranton,Texas Tech,Mississippi,SMU,Wake Forest,Allegheny,Duke,California,Louisiana,Mississippi,North Carolina A&T,Grambling St.,Kent St.,Florida,Tulsa,Luther,Tennessee,San Jose St.,West Virginia,Tulsa,Boise St.,Rice,NE State (OK),Kentucky St.,Vanderbilt,North Carolina,Ohio St.,Kentucky,Texas Tech,Rice,Texas,Temple,Texas-Arlington,Wisconsin,Notre Dame,Maryland,Michigan St.,West Virginia,LSU,Oklahoma,Penn St.,Hawaii,Michigan St.,Oregon,Colorado,Stephen F. Austin,Florida A&M,Washington,Jackson St.,Auburn,Southern Miss,San Jose St.,Ohio St.,Pittsburgh,Penn St.,Oklahoma St.,LSU,Abilene Christian,Troy,South Carolina St.,Hawaii,San Diego St.,Nebraska,Oregon St.,Virginia,Georgia St.,Southern Miss,Florida St.,Indiana,Georgia Tech,Virginia Tech,Old Dominion,Stanford
NA,NA,NA,NA,NA,NA,NA,Unknown,Mississippi St.,Baylor,Marquette,Minnesota,Wake Forest,TCU,Rice,Kentucky,Central Michigan,Clemson,Sam Houston St.,Marshall,UCLA,Texas A&M-Commerce,Connecticut,Unknown,Iowa,LSU,West Virginia,Virginia Tech,Northwestern,Jackson St.,Idaho,Unknown,Virginia Tech,Sam Houston St.,TCU,Willamette,Syracuse,Missouri,Tulsa,Richmond,LSU,Ohio St.,Pittsburgh,Hawaii,Notre Dame,Texas A&M-Commerce,Alabama,Purdue,Southern Miss,South Carolina,Arkansas St.,Notre Dame,Oregon Tech,BYU,Bowling Green,Northern Colorado,East Carolina,Ohio St.,Oklahoma St.,Mississippi St.,Washington St.,SW Missouri St.,Clemson,Notre Dame,SW Missouri St.,Northwestern,UCLA,Georgia,Rutgers,Ball St.,Northwestern,Oregon,Gardner-Webb,Georgia Tech,Virginia Tech,Fresno St.,North Carolina St.,Appalachian St.,Louisiana Tech,Louisiana,Baylor,Mississippi St.,Miami (FL),Auburn,Auburn,Duke,LSU,Liberty,Boston College
NA,NA,NA,NA,NA,NA,NA,Missouri,Northwestern,Rutgers,Pennsylvania,California,California,USC,Midwestern St.,Stanford,California,Duke,Notre Dame,West Virginia,Stetson,Nebraska,McNeese St.,USC,Purdue,Detroit Mercy,Alabama,McNeese St.,North Carolina A&T,Marshall,USC,Albion,Albany State (GA),Georgia,Florida A&M,Ashland,Southern,Northern Illinois,Northern Michigan,LSU,USC,Iowa St.,Wesern Illinois,South Carolina,Virginia,Colorado,North Carolina,Auburn,Arizona St.,Iowa,Florida,Washington,Temple,Wesern Illinois,Northern Illinois,South Carolina,Ohio St.,Mississippi,Notre Dame,Miami (FL),California,Miami (FL),BYU,James Madison,Texas St.,LSU,Virginia Tech,Syracuse,Texas,Washington St.,Weber St.,USC,Arkansas,Texas,Alabama,Central Florida,Rice,Alabama,Auburn,South Florida,Florida,UCLA,Mississippi St.,Oklahoma,Massachusetts,UCLA,UCLA,Wagner,Tennessee
