"1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"Notre Dame","Kansas St.","Washington","Oklahoma","Oklahoma","Detroit Mercy","Texas","Furman","Boston Col.","Ohio St.","Rice","Michigan","Arkansas","Notre Dame","Notre Dame","Vanderbilt","Loyola Marymount","Oklahoma","Texas Tech","Florida","Texas Tech","Arkansas","Baylor","Duke","Southern Miss","Cincinnati","Notre Dame","Florida","LSU","Georgia Tech","Kentucky","Alabama","Arizona","Ohio St."
"Purdue","Indiana","California","Pittsburgh","Oklahoma","Wake Forest","Minnesota","Washington St.","Purdue","Tulsa","Michigan St.","San Francisco","LSU","Texas A&M","Colorado St.","Clemson","Houston","Michigan St.","USC","Baylor","SMU","Washington","North Carolina St.","Vanderbilt","Notre Dame","Georgia Tech","Georgia","Pacific","Holy Cross","Los Angeles St.","Arkansas","Houston","Indiana","Oregon St."
"Rice","Vanderbilt","Colorado","Unknown","Oregon St.","SMU","Minnesota","Alabama","Indiana","Tennessee","Penn St.","Army","Georgia Tech","North Carolina","Brown","Georgia","Texas","Purdue","South Carolina","Syracuse","Notre Dame","Arkansas","Georgia Tech","Dayton","Penn St.","LSU","Missouri","Maryland","Notre Dame","Oklahoma","Syracuse","Oregon St.","Utah St.","Texas Southern"
"Northwestern","Minnesota","Pittsburgh","SMU","Duke","Nebraska","Detroit Mercy","Tennessee","Minnesota","Florida","Duke","Cornell","Virginia","Georgia Tech","Tulane","Kentucky","Georgia Tech","Tulsa","South Carolina","Oklahoma","Baylor","Tulane","Maryland","Colorado","Southern Miss","Georgia","Penn St.","Utah","Oregon","Virginia Tech","Kentucky","Oklahoma","Morgan St.","Houston"
"SMU","Pittsburgh","California","California","Alabama","Georgetown (DC)","Case Western Reserve","Stanford","Utah","Marquette","Georgia Tech","Pennsylvania","Georgia","Hampden-Sydney","Minnesota","Northwestern","South Carolina","Army/Missouri","Duke","SMU","West Virginia","Southern Miss","Washington","North Carolina","New Mexico St.","Penn St.","Miami (FL)","Arkansas","Hardin-Simmons","Washington","Maryland","Virginia","UCLA","Notre Dame"
"Alabama","Auburn","Fordham","Pittsburgh","Minnesota","Nebraska","Baylor","Oregon St.","Pacific","Washington","Oklahoma","Oklahoma","William & Mary","Wake Forest","Northwestern","Boston Univ.","Michigan St.","SMU","Tulsa","Penn St.","SMU","Oklahoma","Tennessee","Baylor","Iowa","Auburn","Washington","Texas","Rice","Yale","Missouri","San Diego St.","Arizona St.","Arkansas St."
"Michigan St.","Tulane","Nebraska","North Dakota St.","Oregon","Marquette","Oklahoma","Michigan","East Central (OK)","Notre Dame","Tulane","Stanford","UCLA","Dartmouth","Purdue","Kentucky","Stanford","Tulsa","USC","Notre Dame","Pacific","Kent St.","Oklahoma","VMI","SMU","Oklahoma St.","USC","Maryland","USC","Ohio St.","Bowling Green","Houston","Jackson St.","Colorado"
"Washington St.","Pennsylvania","Vanderbilt","LSU","Florida","Oregon St.","Tulane","Alabama","Rice","Duquesne","Utah St.","USC","Alabama","Rice","Texas","Michigan St.","Texas A&M","Gustavus Adolphus","Nebraska","SMU","Duke","North Carolina","Auburn","Purdue","Purdue","North Carolina St.","Rice","Alabama","Buffalo","Michigan","Mississippi","Texas Southern","Texas-El Paso","Miami (FL)"
"Idaho","Marquette","Minnesota","Texas A&M","Alabama","Oregon","California","Tulane","Cincinnati","Tulsa","Pennsylvania","Tulsa","Southern Miss","Utah","William & Mary","Kansas","Texas A&M","California","Georgia Tech","Colorado","Denver","Clemson","Duke","Cincinnati","SMU","Pittsburgh","Ohio St.","Auburn","Auburn","Nebraska","Tulsa","Jackson St.","Miami (FL)","Utah St."
"Minnesota","Oklahoma","Fordham","Missouri","Texas","Baylor","Clemson","Kentucky","Michigan","TCU","TCU","Arkansas–Monticello","Mississippi","Iowa","Washington St.","Nebraska","Washington","Ohio St.","George Washington","Iowa","SMU","Michigan St.","West Virginia","Michigan St.","Maryland","Wyoming","Wake Forest","Oregon","West Texas A&M","Cincinnati","Syracuse","San Diego St.","Mississippi","Texas A&M"
