"1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
NA,NA,NA,"Wake Forest","Hardin-Simmons","Muhlenberg","Utah","Michigan St.","Muhlenberg","Holy Cross","Utah","Oklahoma City","Ohio St.","Purdue","Ohio St.","Syracuse","Texas","Tulsa","Alabama","Waynesburg","Yale","Notre Dame","Louisiana Tech","Hardin-Simmons","Los Angeles St.","Houston","Memphis","Michigan St.","Mississippi","Wisconsin–Superior","Allen","Tulsa","Washington","Florida A&M"
NA,NA,NA,"Northwestern","Missouri","Arizona","Oklahoma","Geneva","Mississippi St.","Iowa","Clemson","BYU","Arizona","SMU","Villanova","Michigan","Marquette","Wyoming","Iowa","Miami (OH)","Iowa","North Carolina","Oregon","Colorado St.","Notre Dame","Louisiana Tech","Pittsburg St.","USC","Bowling Green","S.F. Austin","Arkansas","Southern","Virginia","LSU"
NA,NA,NA,"Texas A&M-Commerce","Baylor","Arkansas","Pennsylvania","Baylor","Illinois","Utah St.","North Carolina","St. Bonaventure","Notre Dame","Oregon St.","USC","California","Mississippi St.","Virginia Tech","Wisconsin","Michigan","Vanderbilt","Tennessee Tech","UC Santa Barbara","St. Norbert","Boston Col.","Shaw","Capital","Notre Dame","Idaho","Florida","Arizona","Baylor","Memphis","Louisville"
NA,NA,NA,"Duke","Alabama","Denver","Texas","Denver","Oregon St.","Iowa","South Carolina","Clemson","Wheaton","William & Mary","Sam Houston St.","Scranton","Michigan St.","Duke","Villanova","Lincoln (PA)","Texas Tech","Oregon St.","Villanova","Dayton","North Carolina","Baylor","Fresno St.","Illinois","Ohio St.","Duke","Northwestern","Washington St.","Southern","USC"
NA,NA,NA,"Arizona","Illinois","Fresno St.","Indiana","Wichita St.","LSU","Pittsburgh","USC","Tennessee","Texas","Texas-El Paso","Baylor","Notre Dame","Cincinnati","Kansas","Cincinnati","California","North Dakota","Houston","Kansas","Baylor","Oregon","Syracuse","Washington","Miami (FL)","Utah","LSU","Delta St.","Tulsa","Texas","Southern"
NA,NA,NA,"Oklahoma","Tulsa","San Jose St.","Miami (FL)","Syracuse","LSU","Virginia","Oregon St.","Penn St.","Pittsburgh","Illinois","Notre Dame","St. Thomas","Tennessee","Arizona St.","West Virginia","Missouri","Arizona","Alabama","Mississippi","TCU","Brown","USC","Colorado","Iowa","Delaware","Allen","Auburn","Miami (FL)","SMU","Tampa"
NA,NA,NA,"Pittsburgh","Oklahoma","Texas A&M","Temple","William & Mary","Marquette","Mississippi St.","Texas-El Paso","USC","Purdue","Tennessee","San Jose St.","Arizona St.","LSU","Duke","Harvard","Pittsburgh","Michigan St.","Georgia Tech","South Carolina","Utah St.","Kent St.","SMU","Adams St.","Nebraska","Idaho","Texas","Arkansas","Weber St.","Tennessee St.","Notre Dame"
NA,NA,NA,"Clemson","Penn St.","Duke","Tulsa","Iowa St.","Virginia Tech","Arkansas","Columbia","Georgia","Oregon","San Jose St.","West Virginia","Florida St.","Loyola Marymount","Arizona St.","North Carolina","Fordham","UCLA","Oklahoma","Syracuse","Mississippi","North Carolina","Missouri","Villanova","Auburn","Oregon","Detroit Mercy","Abilene Christian","BYU","Florida St.","Texas Tech"
NA,NA,NA,"Iowa St.","Rice","North Carolina","Penn St.","Iowa","Michigan","Fordham","Youngstown St.","Michigan","Georgia Tech","Vanderbilt","Pittsburgh","Alabama","Texas","San Jose St.","Mississippi St.","Wisconsin","Tennessee","Valparaiso","Lehigh","North Carolina St.","Rice","Oregon","North Carolina St.","Minnesota","Purdue","Jackson St.","Wyoming","West Texas A&M","Alabama A&M","South Carolina St."
NA,NA,NA,"Brown","Oregon","Texas-El Paso","Unknown","Northwestern","Mississippi St.","Duke","North Carolina","Colgate","Iowa","Boston Univ.","Rice","Nevada","Florida St.","USC","Maryland","Cincinnati","Illinois","Utah St.","Duke","Auburn","Marquette","Baylor","Michigan St.","Colorado","Baylor","Grambling St.","Tulsa","Northwestern","Vanderbilt","Stanford"
NA,NA,NA,"Bradley","Oregon St.","Providence","Arkansas","Texas A&M","Fresno St.","Notre Dame","Alabama","Minnesota","Michigan","Michigan","Dartmouth","Pacific","Tulsa","UCLA","Oregon St.","New Mexico","Colorado","Wisconsin","San Jose St.","Albion","SMU","South Carolina","California","Texas Southern","Baldwin-Wallace","Elizabeth City St.","Ark-Pine Bluff","Mississippi","Louisville","TCU"
NA,NA,NA,"Tarkio","Dayton","Texas A&M","BYU","Tulsa","South Carolina","North Carolina","Georgia Tech","Ohio St.","Louisiana Tech","Otterbein","Texas A&M","Clemson","Arkansas","Wake Forest","Alfred","Maryland","LSU","Ohio St.","SMU","Richmond","Indiana","North Carolina","Texas","SMU","Unknown","New Mexico St.","Washington","Michigan St.","Texas Southern","Texas-Arlington"
NA,NA,NA,"Montana","Knox","Baylor","Scranton","Duquesne","Mississippi","Case Western Reserve","Duke","Oklahoma City","Oklahoma","Sul Ross St.","Denver","Morehead St.","Holy Cross","Georgia Tech","Ohio St.","Rhode Island","Kansas","Virginia Tech","Toledo","Purdue","Occidental","Bowling Green","Grambling St.","Western Michigan","San Diego St.","Texas-El Paso","Utah St.","San Diego St.","South Carolina St.","Colorado St."
NA,NA,NA,"Washington St.","Arkansas","Notre Dame","Wichita St.","Minnesota","Nebraska","Louisiana","William & Mary","Detroit Mercy","Northern Illinois","California","Brown","Georgia Tech","Clemson","Princeton","Michigan","Cornell","Baylor","Notre Dame","West Virginia","LSU","Georgia","Washington","Furman","Utah St.","Syracuse","USC","Auburn","Elizabeth City St.","San Jose St.","Texas Southern"
NA,NA,NA,"Wisconsin","Vanderbilt","Nebraska","Ohio St.","Hardin-Simmons","Tennessee","TCU","Texas A&M","Cincinnati","Texas","Wisconsin","Iowa St.","Wyoming","Kentucky","Tulsa","John Carroll","South Carolina","Oklahoma","Oklahoma St.","Tufts","UCLA","North Carolina Central","Illinois","Miami (OH)","Boston Col.","Wenatchee Valley JC","McNeese St.","Oklahoma","Texas-El Paso","Alcorn St.","Ball St."
NA,NA,NA,"Bradley","Drake","Oregon St.","Nebraska","Oregon St.","Duke","USC","Georgia","Indiana","Notre Dame","Unknown","Northwestern","Missouri","Notre Dame","Bradley","Texas","Purdue","Texas Tech","Auburn","Hardin-Simmons","West Virginia","Los Angeles St.","Detroit Mercy","Bowling Green","Florida A&M","William & Mary","Los Angeles St.","Wisconsin","Lenoir-Rhyne","Texas-El Paso","Waynesburg"
NA,NA,NA,"Marshall","Oklahoma St.","Boston Col.","BYU","West Virginia","Tennessee","LSU","Miami (OH)","Ripon","Michigan","Vanderbilt","Western Kentucky","USC","LSU","North Texas","Maryland","Texas","Utah St.","Colgate","Indiana","Hardin-Simmons","Duke","Mississippi","Grambling St.","Florida A&M","Alabama","Prairie View A&M","USC","Arkansas","S.F. Austin","Lakeland"
NA,NA,NA,"Notre Dame","Bradley","Missouri","Northwestern","LSU","Tennessee","Wisconsin","Brown","LSU","Scranton","BYU","Davidson","Miami (FL)","Northwestern","Army/West Virginia","Wisconsin","Northwestern","Notre Dame","Arizona St.","Michigan St.","Baylor","Ohio","Southern Miss","BYU","Drake","Oklahoma","Alabama","Arkansas","LSU","Florida A&M","Arizona St."
NA,NA,NA,"St. Mary's (CA)","North Carolina St.","Miami (FL)","Stanford","Oklahoma","TCU","Nevada","West Virginia","USC","Oklahoma St.","William & Mary","USC","Illinois","LSU","Army/Kansas St.","Virginia","Ohio St.","Mississippi","George Washington","Tampa","Rice","Virginia","TCU","Connecticut","Dartmouth","Nebraska-Omaha","Memphis","Northwestern St. (LA)","Jackson St.","Md-Eastern Shore","Baylor"
NA,NA,NA,"South Dakota St.","Bucknell","Cornell","Texas","Arizona St.","Ohio St.","Indiana","Baylor","SMU","Georgia Tech","West Virginia","Oklahoma St.","Bucknell","Florida","Utah","Georgia Tech","George Washington","Minnesota","Montana St.","Wofford","Bowling Green","South Carolina","Florida","Unknown","Utah","Stanford","Fisk","Southern","SMU","Weber St.","LSU"
NA,NA,NA,"Columbia","Mississippi St.","Wisconsin","Ohio St.","Georgia","USC","Kansas St.","Northwestern","Michigan","Rice","Indiana","Arkansas","Oregon St.","Nevada","Washington","TCU","Sul Ross St.","Dayton","East. Oregon","Michigan St.","South Carolina","Stanford","Detroit Mercy","Tulane","Arkansas","Fresno St.","Notre Dame","Benedictine","Wyoming","Tennessee","Alabama St."
NA,NA,NA,"Newberry","Oregon St.","Baylor","Appalachian St.","Missouri","Colgate","South Carolina","Georgia","Utah St.","Oklahoma","Auburn","Toledo","LSU","Maryland","Kansas","Tulane","Utah","Kent St.","Texas Tech","Miami (OH)","Mississippi","Southern","Clemson","USC","Southern Miss","William & Mary","Fresno St.","Alabama","Tennessee St.","Grambling St.","Wichita St."
NA,NA,NA,"Dayton","Bradley","Notre Dame","Arkansas","Cincinnati","Duquesne","Unknown","Tulsa","Texas Tech","Canisius","Southern Miss","Brown","West Texas A&M","Texas Tech","Cincinnati","Marshall","Ohio St.","Kansas St.","Mississippi St.","Cincinnati","Arizona St.","Dayton","Richmond","Syracuse","Duke","Unknown","South Carolina","Arizona","Northern Arizona","Notre Dame","Arizona St."
NA,NA,NA,"Iowa St.","Ohio St.","Auburn","Harvard","USC","Texas","Holy Cross","Rice","Holy Cross","Notre Dame","Alabama","Texas","Illinois","Texas","Washington & Lee","Arkansas","Louisiana Tech","Duke","Syracuse","South Dakota","Clemson","North Texas","Arizona","South Dakota St.","Texas Tech","Tennessee","Minnesota","Grambling St.","Bowling Green","Southern","Minnesota"
NA,NA,NA,"Oregon","Michigan","East. Illinois","Nebraska","Duke","Oregon St.","Notre Dame","Michigan","Richmond","Michigan St.","Michigan","West Virginia","Unknown","Michigan St.","George Washington","Rice","Marquette","Alabama","Miami (OH)","Minnesota","Texas-El Paso","Jacksonville St.","Detroit Mercy","Montana St.","Baylor","Texas","Miami (OH)","Nevada","North Carolina","Mississippi St.","St. Olaf"
NA,NA,NA,"SMU","Scranton","Michigan St.","Tennessee","Unknown","Oregon St.","South Carolina","Notre Dame","Indiana","Arkansas","Appalachian St.","Virginia","Baylor","North Carolina St.","Washington","South Dakota","Georgia Tech","Col. of Idaho","Maryland","Iowa","McMurry","Texas A&M","VMI","Rutgers","Iowa","Texas Southern","Nebraska","Tennessee","Willamette","Jackson St.","North Texas"
NA,NA,NA,"Kansas","Clemson","Unknown","Duquesne","Colorado St.","Northwestern","Denver","Duke","Muhlenberg","Muhlenberg","West Virginia","San Francisco","Montana","Tulsa","Michigan St.","Pittsburgh","Michigan","Penn St.","Kansas","Army","Maryland","Texas A&M-Commerce","North Carolina St.","Miami (FL)","Mississippi St.","Florida St.","Purdue","Unknown","Iowa","Southern Miss","Houston"
NA,NA,NA,"Marshall","Gonzaga","Furman","Ohio St.","Washington","Tulsa","Syracuse","Dartmouth","NE State (OK)","Virginia","Vanderbilt","Oklahoma St.","BYU","Texas","Wisconsin","Illinois","John Carroll","Illinois","Youngstown St.","Penn St.","Clemson","Colorado St.","Northwestern","Truman St.","Georgia Tech","Washington St.","Miami (FL)","New Mexico","North Dakota","Tulsa","New Mexico St."
NA,NA,NA,"West Virginia","Boston Col.","SMU","Santa Clara","Penn St.","USC","Kentucky","Wake Forest","LSU","William & Mary","Heidelberg","Wisconsin","Kentucky","TCU","Mississippi","Waynesburg","NE State (OK)","Tennessee Tech","Wyoming","UCLA","Kansas","West Virginia","Kentucky","Texas Tech","Florida","Iowa","Montana","Central Oklahoma","Kentucky","Ark-Pine Bluff","Samford"
NA,NA,NA,"North Dakota","St. Vincent","Murray St.","North Carolina","SMU","Dartmouth","California","Shurtleff","Wake Forest","Kansas","Minnesota","Penn St.","Detroit Mercy","Baylor","TCU","Oklahoma","Texas A&M","Wisconsin","Montana St.","Oklahoma","TCU","West Virginia","Memphis","Winona St.","Jackson St.","Washington","Texas Southern","Oregon St.","Virginia","Tennessee","Delaware Valley"
NA,NA,NA,"Iowa St.","Oklahoma","Kentucky","Murray St.","Utah","Texas","Pittsburgh","USC","North Carolina","Utah","Holy Cross","Santa Clara","Alabama","BYU","Tulane","Kansas","Duke","Notre Dame","Wofford","Texas A&M","The Citadel","Texas Southern","Holy Cross","Ohio","George Washington","Utah St.","North Texas","Iowa","Georgia","South Carolina St.","Auburn"
NA,NA,NA,"Chicago","Duke","Minnesota","Willamette","Catawba","SMU","Washington","Arizona","Texas A&M","Scranton","Michigan","Florida","Georgia","Nebraska","Arizona St.","Bishop","Army","Army","Indiana","USC","Maine","Whittier","Colorado","Penn St.","Pittsburgh","Southern","North Carolina St.","Georgia","Iowa St.","Miami (FL)","Virginia"
NA,NA,NA,"New Mexico","Gonzaga","Princeton","Kansas","Texas","Georgia Tech","Duke","Central Michigan","Southeastern Louisiana","McMurry","Tulane","Pittsburgh","Duquesne","UCLA","Florida","California","Maryland","Colgate","Jacksonville St.","Whittier","Bluffton","Unknown","Lenoir-Rhyne","Tulane","Texas A&M-Kingsville","North Texas","Mississippi St.","Jacksonville St.","South Carolina","Colorado St.","Boston Col."
NA,NA,NA,"USC","Oregon","Northwestern","Mississippi","Unknown","William & Mary","Manhattan","Fordham","Wake Forest","Montana St.","Arkansas","Col. of Idaho","Abilene Christian","Ohio St.","Santa Clara","Iowa","Benedictine","North Texas","Memphis","TCU","SE Oklahoma St.","Clemson","Tennessee","Georgia","Notre Dame","Boston Univ.","Cincinnati","San Diego St.","Miami (OH)","Adams St.","UCLA"
NA,NA,NA,"Iowa","Virginia","Texas Tech","Michigan","Stanford","Washburn","Iowa","Texas Tech","North Dakota St.","Texas","Middlebury","Baylor","Georgia Tech","Maryland","Houston","Nebraska","Washington","William & Mary","Texas A&M-Commerce","Presbyterian","Wisconsin","The Citadel","Central Oklahoma","Iowa","Stanford","Ark-Pine Bluff","North Texas","Bowling Green","Indiana St.","Michigan","UCLA"
NA,NA,NA,"California","Baylor","Holy Cross","Alabama","Arizona St.","Colgate","Alabama","Colorado","Southeastern Louisiana","Purdue","Denison","Marshall","Marquette","Pepperdine","New Mexico","Pacific","Ohio St.","Texas St.","Texas","Marshall","North Carolina","Marquette","Florida","SW Oklahoma St.","Wichita St.","Los Angeles St.","Illinois","Pittsburgh","Tulsa","Toledo","Michigan St."
NA,NA,NA,"Fordham","Gustavus Adolphus","West Virginia","Colorado","Pennsylvania","Duke","Tulane","Wake Forest","BYU","California","Pittsburgh","St. Bonaventure","Northwestern","Indiana","Arkansas","Georgia Tech","Texas","Utah St.","Wichita St.","Drake","Mississippi St.","Michigan","Mississippi","Bowling Green","Boston Col.","Notre Dame","South Carolina","Indiana","Texas","Georgia Tech","SMU"
NA,NA,NA,"Washington","Mississippi","St. Louis","Oregon","Holy Cross","Georgia Tech","Wake Forest","Temple","Lawrence","New Mexico","Denison","Oregon St.","Tulane","TCU","Wisconsin","Denver","Vanderbilt","Abilene Christian","Louisiana Tech","Miss. Valley St.","NE State (OK)","Tulane","USC","Texas","West Chester","Tulsa","Florida A&M","Fairmont St.","North Texas","Tennessee","Washington St."
NA,NA,NA,"Bucknell","Notre Dame","Boston Col.","Texas Tech","Texas A&M","Michigan St.","Missouri","Temple","Indiana","Southeastern Louisiana","Boston Col.","Nevada","South Carolina","Iowa St.","Miami (FL)","Florida","Toledo","Louisiana Tech","Texas A&M-Kingsville","Unknown","Detroit Mercy","Huron","Abilene Christian","Auburn","Miami (OH)","Idaho St.","California","Long Beach St.","Texas","Dayton","Oregon St."
NA,NA,NA,"Tulsa","Albright","Indiana","Alabama","West Virginia","Auburn","Ohio St.","Illinois","Texas","Utah St.","SMU","Nebraska Wesleyan","Colorado","Princeton","Notre Dame","North Alabama","Michigan St.","Montana","Pittsburgh","Maryland","Arizona St.","Alma","Tennessee Tech","Miami (FL)","Fresno St.","Memphis","Duke","Missouri","San Diego St.","New Mexico St.","Penn St."
NA,NA,NA,"Kansas","St. Mary's (CA)","Oregon","Susquehanna","Brown","Missouri","Minnesota","LSU","Montana St.","Loyola Marymount","North Texas","Illinois","Wisconsin","Ohio St.","Northwestern","Chattanooga","St. Norbert","Virginia","Michigan St.","Florida","LSU","Oregon","Marietta","Notre Dame","Purdue","Stanford","Arizona","Utah","Brown","Langston","Texas A&M-Commerce"
NA,NA,NA,"Notre Dame","Denver","Penn St.","Georgia","Minnesota","Bucknell","Rice","USC","Michigan","West Texas A&M","Texas A&M-Commerce","Minnesota","Kentucky","Princeton","Tulsa","South Carolina","Wake Forest","Mississippi","Houston","Southern Miss","Houston","Whitworth","Illinois","California","Ohio","Southern Miss","North Dakota","Georgia Tech","UT Martin","Louisiana Tech","Florida St."
NA,NA,NA,"USC","Cincinnati","Toledo","Chattanooga","Texas A&M","USC","North Carolina","Utah","Washington St.","Utah","Cornell","Oklahoma","Georgia Tech","Gustavus Adolphus","Texas","TCU","Maryland","Army","Indiana","Minnesota","Trinity (CT)","Iowa St.","McNeese St.","Md-Eastern Shore","Ohio St.","Virginia Tech","San Jose St.","Clemson","Youngstown St.","Wake Forest","Nebraska"
NA,NA,NA,"Benedictine","North Carolina","Hardin-Simmons","Texas-El Paso","Hardin-Simmons","Detroit Mercy","Holy Cross","Minnesota","Kansas Wesleyan","North Carolina St.","Illinois","Florida","Tennessee","Georgia","Oklahoma","Richmond","Idaho","Notre Dame","SMU","Ohio","Pittsburgh","Mississippi","Pittsburgh","Unknown","Unknown","Washington St.","Long Beach St.","Tarleton St.","New Mexico St.","Michigan St.","Prairie View A&M"
NA,NA,NA,"Michigan","Unknown","Duke","Northwestern","Wisconsin","Villanova","Syracuse","Colorado","LSU","Arkansas","John Carroll","Santa Clara","Kentucky","West Virginia","Florida A&M","Notre Dame","North Carolina A&T","Arkansas St.","Maryland","Iowa St.","Michigan St.","Texas","Ohio St.","North Carolina Central","Los Angeles St.","Syracuse","Oklahoma St.","Southern Miss","Ohio St.","Mississippi","San Diego St."
NA,NA,NA,"Stanford","Oregon","Unknown","Pittsburgh","Youngstown St.","Texas","Oklahoma","Notre Dame","Wisconsin","Oklahoma St.","Iowa","LSU","Southern","Tampa","Georgia","Hardin-Simmons","Auburn","Kentucky","West Virginia","Rice","Auburn","Central Michigan","Philander Smith","Arkansas","Michigan St.","Penn St.","Northwestern","Simpson","Harvard","Jackson St.","Emory & Henry"
NA,NA,NA,"Washington","Wake Forest","Hardin-Simmons","Wake Forest","Oklahoma St.","North Carolina","Alabama","Notre Dame","Oregon","LSU","Muhlenberg","Ohio St.","Pacific","Villanova","Oklahoma","Colorado St.","Nebraska","Grambling St.","South Carolina","Benedictine","Florida","Prairie View A&M","Duke","LSU","West Virginia","Northern Michigan","Baylor","Tennessee","SMU","South Carolina St.","Toledo"
NA,NA,NA,"San Francisco","Colorado Mines","Minnesota","Washington","Xavier (OH)","Colgate","Northwestern","Notre Dame","LSU","Duke","Penn St.","Unknown","Texas","Tennessee","Michigan","Kent St.","Oklahoma","Purdue","Iowa","Georgia Tech","Auburn","North Dakota","Penn St.","Villanova","Tulane","Iowa","North Dakota St.","Clemson","Fort Valley St.","Ball St.","Houston"
NA,NA,NA,"Indiana","Kansas St.","Penn St.","Pacific Lutheran","USC","Miami (FL)","Colgate","Penn St.","UCLA","St. Ambrose","SMU","Arkansas","Purdue","Wisconsin","Dayton","USC","California","Central Oklahoma","Minnesota","Idaho","Detroit Mercy","Cincinnati","Utah","South Carolina","Rhode Island","Tennessee","Texas","Nebraska","Wisconsin–Stout","Florida St.","Virginia Tech"
NA,NA,NA,"LSU","Auburn","LSU","Missouri","Villanova","Pennsylvania","USC","Denver","Texas","Iowa","Colgate","Boston Col.","Stanford","San Francisco","Mississippi","Clarion","TCU","Southern Miss","Georgia","Georgia","Southern","Purdue","Georgia Tech","Colorado","Southern Connecticut St.","Maryland","Utah","Florida St.","Missouri","LSU","Texas A&M"
NA,NA,NA,"Toledo","Kentucky","Carnegie Mellon","West Texas A&M","Washington","Villanova","Maryland","Minnesota","Texas","USC","Rice","Tennessee","Texas A&M","North Texas","Mississippi","Iowa","Prairie View A&M","Middle Tenn. St.","Ohio St.","Capital","New Haven","Kansas St.","Kansas","Purdue","Oklahoma","Wittenberg","Notre Dame","Tennessee St.","Northwestern","Nebraska","Temple"
NA,NA,NA,"Oklahoma St.","Centenary","Ohio St.","Ripon","Idaho","LSU","Nebraska","Boston Col.","Michigan","Washington & Lee","Georgia","Baylor","Nevada","Maryland","Sul Ross St.","Utah St.","Glenville St.","Navy","Colorado","Virginia","Idaho St.","Richmond","Miss. Valley St.","Southern Miss","Indiana St.","Penn St.","Edward Waters","South Carolina","Colorado","Memphis","Tennessee St."
NA,NA,NA,"Illinois","LSU","Washington St.","Elon","Pennsylvania","Presbyterian","Purdue","UCLA","Delaware","Washington & Lee","Virginia","Northwestern","Northwestern","Illinois","Miami (OH)","Detroit Mercy","Tulane","Drake","Kansas","St. Ambrose","North Texas","Prairie View A&M","Montana St.","Michigan","San Diego St.","East Carolina","Tulsa","Lamar","Oregon St.","Wyoming","Hawaii"
NA,NA,NA,"Centre","Georgia Tech","TCU","Holy Cross","Santa Clara","USC","Dartmouth","William & Mary","Washington St.","Texas","Colorado St.","Oklahoma St.","USC","Yale","Ohio St.","Texas","Utah St.","Alabama","Dayton","Southern Miss","North Carolina","Wyoming","Ohio St.","Nevada","Boston Col.","Hillsdale","Notre Dame","East. New Mexico","Colorado","Hampton","Notre Dame"
NA,NA,NA,"Minnesota","Illinois","Fordham","SMU","Clemson","Mississippi St.","Villanova","San Jose St.","Vanderbilt","Georgia","North Carolina","S.F. Austin","Pittsburgh","Illinois","Syracuse","Utah","Auburn","Missouri","Florida","Michigan St.","Duke","Georgia","SMU","UCLA","Missouri","Oklahoma","Arizona St.","New Mexico St.","Benedictine","Washington","USC"
NA,NA,NA,"Tulane","San Francisco","Vanderbilt","Gonzaga","Rochester","Santa Clara","Unknown","Marquette","Colorado","Penn St.","Iowa St.","San Jose St.","Unknown","Stanford","North Carolina","Georgia Tech","Clemson","Wisconsin","Montana","Mississippi","Minnesota","Wisconsin","North Carolina","Syracuse","Georgia Tech","Clemson","Austin","South Carolina","Arizona St.","Morris Brown","Jackson St."
NA,NA,NA,"Montana","Auburn","Arizona","Notre Dame","Iowa St.","Washington","Mississippi St.","Miami (OH)","Wyoming","Marshall","Rollins","Howard Payne","Idaho","Notre Dame","Bowling Green","Florida St.","Middlebury","Florida","Virginia Tech","S.F. Austin","Grambling St.","Texas A&M-Commerce","Arizona St.","VMI","Texas","Ohio St.","Idaho","Bowling Green","C.W. Post","Duke","Kansas St."
NA,NA,NA,"BYU","St. Anselm","Kentucky","Wichita St.","St. Vincent","Mississippi St.","Iowa","Baylor","LSU","Texas","North Carolina","Tulane","Marquette","Oklahoma","Illinois","Kent St.","Bradley","Washington St.","Maryland","SMU","Clemson","Gustavus Adolphus","Georgia","Maryland","Bethune-Cookman","Syracuse","Drake","Wisconsin","Idaho","Grambling St.","Grambling St."
NA,NA,NA,"Villanova","Missouri","Georgetown (DC)","Fordham","Villanova","Georgia","Auburn","Lafayette","UCLA","Colorado Col.","Notre Dame","St. Bonaventure","Memphis","USC","Mississippi St.","Houston","Iowa","Maine","LSU","Central Michigan","William & Mary","Villanova","Florida A&M","Detroit Mercy","Fisk","Colorado","Oklahoma","Minnesota","Utah St.","Oregon St.","Yale"
NA,NA,NA,"Notre Dame","Cornell","Mississippi St.","Boston Col.","Arizona","Purdue","Tulsa","Bemidji St.","Michigan","Columbia","Penn St.","West Virginia","Fordham","Stanford","Army/Villanova","Arkansas","New Mexico","Houston","Penn St.","Abilene Christian","Hardin-Simmons","The Citadel","Wichita St.","Navy","Iowa","Virginia","Auburn","Western Illinois","Purdue","Georgia","Utah St."
NA,NA,NA,"Notre Dame","Centenary","Illinois","Boston Col.","Unknown","Temple","Oklahoma St.","Santa Clara","Michigan St.","Colorado","Alabama","Oregon","South Carolina","Georgia Tech","Dartmouth","Oklahoma","Southern Miss","Mississippi","Hillsdale","Arkansas Tech","Villanova","Louisiana Tech","Oklahoma","Penn St.","Unknown","Northwestern","Toledo","San Diego St.","Northwestern","Notre Dame","Tuskegee"
NA,NA,NA,"Iowa St.","Missouri","Texas A&M","Iowa","North Carolina","Notre Dame","Texas","Bucknell","Marquette","Texas","Mississippi","Dartmouth","Loyola Marymount","Michigan","Villanova","Mississippi St.","Georgia","Pittsburgh","Houston","Iowa","Holy Cross","Georgia","Iowa","Louisville","South Carolina","UCLA","Maryland","Nebraska","Texas","Weber St.","Prairie View A&M"
NA,NA,NA,"Unknown","Miami (FL)","Georgetown (DC)","George Washington","St. Mary's (CA)","Guilford","Oklahoma St.","Colorado","Fresno St.","Dartmouth","Duke","Louisiana","East. Kentucky","Oklahoma St.","Purdue","Kentucky","Maryland","Navy","Maryland","Richmond","Georgia Tech","South Carolina","Northern Arizona","Georgia","Toledo","Grambling St.","USC","Montana","California","Morgan St.","Arkansas"
NA,NA,NA,"Washington St.","Notre Dame","Holy Cross","Florida","Wisconsin","Notre Dame","Villanova","Purdue","TCU","Catawba","USC","Holy Cross","St. Ambrose","St. Norbert","Florida","Sam Houston St.","Miami (OH)","Wyoming","Pittsburgh","Richmond","Benedictine","Miami (OH)","San Francisco St.","Pacific","Toledo","Texas A&M-Commerce","West Virginia","USC","Tuskegee","Miami (FL)","BYU"
NA,NA,NA,"Santa Clara","Iowa","Carnegie Mellon","TCU","Santa Clara","Louisiana Tech","Arkansas","USC","St. Lawrence","Rice","Pacific","Minnesota","Missouri State","Washington & Lee","California","Oregon St.","Arizona St.","Emporia St.","Pittsburgh","Compton CC (CA)","UCLA","Western Michigan","Michigan","Houston","Whitworth","Colorado St.","Texas Tech","Louisiana Tech","Tennessee","Oklahoma","Washington"
NA,NA,NA,"Texas","Whittier","Colgate","Texas A&M-Kingsville","Minnesota","Unknown","Marquette","Duke","North Carolina St.","Utah","Hardin-Simmons","Detroit Mercy","Oklahoma St.","Houston","Texas","Baylor","BYU","Alabama","Kentucky","Clemson","SMU","Notre Dame","Ohio St.","SMU","New Mexico","Tulsa","Los Angeles St.","Purdue","SMU","Md-Eastern Shore","Youngstown St."
NA,NA,NA,NA,NA,"Rice",NA,"LSU","Pennsylvania","Boston Col.","Villanova","Oklahoma","Tulsa","Missouri","North Carolina","William & Mary","USC","Penn St.","Baylor","Wake Forest","Miami (OH)","Wheaton","Duke","Jackson St.","USC","Miami (FL)","North Carolina Central","Colorado","Muskingum","Arizona St.","Shippensburg","Truman St.","San Jose St.","Clemson"
NA,NA,NA,NA,NA,"Tulsa",NA,"Scranton","Geneva","Kentucky","Tulane","Colorado","Virginia","Ohio St.","North Carolina A&T","Tulane","Tennessee","San Diego St.","Houston","San Diego St.","UCLA","Houston","Minnesota","Tennessee Tech","Florida","West Texas A&M","Maryland","Utah","Nebraska","Vanderbilt","Los Angeles St.","Bishop","Illinois","Tulsa"
NA,NA,NA,NA,NA,"Akron",NA,"Missouri","Purdue","Stanford","Pittsburgh","Oregon","Kansas","Wisconsin–Milwaukee","Furman","Texas","California","Rice","Texas Tech","Sam Houston St.","Mississippi","Occidental","SE Missouri St.","Baylor","Baylor","New Mexico St.","Wake Forest","Maryland","Idaho","Prairie View A&M","Pittsburgh","Wyoming","Montana","Jackson St."
NA,NA,NA,NA,NA,"Cornell",NA,"Temple","UCLA","Georgia","Bucknell","Boston Col.","Arkansas","Baylor","Pittsburgh","Baylor","Penn St.","Utah","Florida","East. Kentucky","Kentucky","Murray St.","Texas A&M","South Dakota St.","Syracuse","Missouri","Mississippi St.","West Texas A&M","Nebraska","East Tennessee St.","Washington","Virginia Union","Colorado St.","Purdue"
